file_id,canonical_path,family_id,path_ids,as_oracle_association_ids,as_schedule_association_ids,oracle_test_case_ids,schedule_test_case_ids,mpp_xml_pair_ids,equivalence_class_ids,repository_item_ids
F0116,ref1/nasa-ibr-handbook-5-1.pdf,FAM007,P0210,,,,,,,
F0117,ref1/nasa-wbs-handbook.pdf,FAM007,P0211,,,,,,,
F0118,ref1/pm-handbook-nasa-sp-2014-3705-2024jun.pdf,FAM007,P0212,,,,,,,
F0119,ref1/ppc-handbook-1-5-17.pdf,FAM007,P0213,,,,,,,
F0120,ref1/Project2(Duration Bomb).mpp,FAM008,P0214|P0347|P0357|P0397,,,,,,,
F0121,ref1/Project5_TAMPERED UI WBS Levels.mpp,FAM008,P0215,,,,,,,
F0122,ref1/schedule-management-handbook-20240315-update.pdf,FAM007,P0216,,,,,,,
F0123,ref1/smp-template-20200225.docx,FAM007,P0217,,,,,,,
F0124,ref1/sopi_6.0_final.pdf,FAM007,P0218,,,,,,,
F0125,ref1/SP-20240014019.pdf,FAM007,P0219,,,,,,,
F0126,ref1/SP-20240014326.pdf,FAM007,P0220,,,,,,,
F0127,ref1/SRA Risk - Project5_TAMPERED.mpp,FAM009,P0221,,,,,,,
F0128,ref1/SRA Risk - TEST FILE - Project5_TAMPERED.mpp,FAM009,P0222,,,,,,,
F0129,ref1/srb-handbook-official-rev-c-202301243-final-v2.pdf,FAM007,P0223,,,,,,,
F0130,ref1/TP1_Library_Progressed.mpp,FAM010,P0224|P0352|P0362|P0402,,A0026|A0031|A0036|A0037|A0038|A0039,,TC-F0011|TC-F0012|TC-F0013|TC-F0014|TC-F0015|TC-F0016,MX011,,
F0131,ref1/TP2_Bridge_4x10_Calendar.mpp,FAM010,P0225|P0364|P0378|P0404,,A0040|A0042|A0044,,TC-F0017|TC-F0018|TC-F0019,MX012,,
F0132,ref1/TP3_Outage_DCMA_Seeded.mpp,FAM010,P0226|P0366|P0380|P0406,,A0041|A0043|A0045,,TC-F0017|TC-F0018|TC-F0019,MX013,,
F0133,ref1/Visuals/Advanced Cost Uncertainty.jpg,FAM012,P0227,,,,,,,
F0134,ref1/Visuals/HLS Risk Rigistry.jpg,FAM012,P0228,,,,,,,
F0135,ref2/2345.afw,FAM008,P0229|P0248,A0132|A0133|A0134|A0135|A0136|A0137,,TC-F0135,,,,
F0136,ref2/Ai Result Comparision.docx,FAM012,P0230,,,,,,,
F0137,ref2/Executive Summary Large Test File.docx,FAM005,P0231,,,,,,,
F0138,ref2/Field Map.fieldmap.xml,FAM012,P0232,,,,,,,
F0139,ref2/Hard_File Forensic Analysis Report.xlsx,FAM003,P0233,A0138|A0139,,TC-F0139,,,,
F0140,ref2/Hard_File_Fuse.afw,FAM003,P0234,A0140|A0141,,TC-F0140,,,,
F0141,ref2/Large Test File (OverAl Fixed) UID_152_Directional_Path_Analysis_2026-6-24-13-17-48.xlsx,FAM005,P0235,A0142,,TC-F0141,,,,
F0142,ref2/Large_Test_File_UID_152_Directional_Path_Analysis_2026-7-8-8-45-50.xlsx,FAM005,P0236,A0143|A0144,,TC-F0142,,,,
F0143,ref2/PerformanceAnalysisSummary_Sample Metrics_2026APR.xlsx,FAM007,P0237,,,TC-F0143,,,,
F0144,ref2/Project2 vs Project5_TAMPERED Forensic Analysis Report.xlsx,FAM008,P0238,A0145|A0146|A0147|A0148,,TC-F0144,,,,
F0145,ref2/Project5_TAMPERED_UID_67_Directional_Path_Analysis_2026-7-8-8-19-10.xlsx,FAM008,P0239,A0149|A0150|A0151,,TC-F0145,,,,
F0146,ref2/SRA Risk - Project5_TAMPERED - SRA.xlsx,FAM009,P0240,A0152|A0153|A0154|A0155,,TC-F0146,,,,
F0147,ref2/SRA Sensitivity Analysis.xlsx,FAM009,P0241,A0156|A0157|A0158|A0159,,TC-F0147,,,,
F0148,ref2/sra-report January 2026.docx,FAM009,P0242,,,,,,,
F0149,ref2/sra-report.docx,FAM009,P0243,,,,,,,
F0150,ref2/sra-ssi (January 2026).xlsx,FAM009,P0244,A0160|A0161|A0162|A0163,,TC-F0150,,,,
F0151,ref2/sra-ssi-setup.json,FAM009,P0245,,,,,,,
F0152,ref2/sra-ssi.xlsx,FAM009,P0246,A0164|A0165|A0166|A0167,,TC-F0152,,,,
F0153,ref2/test files.zip,FAM012,P0247,,,,,,,
F0154,ref2/test files_EXTRACTED/Project2 - Project5/P2-P5 - DCMA Report.zip,FAM008,P0331,,,,,,,
F0155,ref2/TP1_Library_Progressed.xml,FAM010,P0353|P0363|P0393|P0403,,,,,MX011,,
F0156,ref2/TP1_Library_Progressed.zip,FAM010,P0354|P0394,,,,,,,
F0157,ref2/TP2_Bridge_4x10_Calendar.xml,FAM010,P0365|P0379|P0405|P0418,,,,,MX012,,
F0158,ref2/TP3_Outage_DCMA_Seeded.xml,FAM010,P0367|P0381|P0407|P0419,,,,,MX013,,
F0159,ref2/TP4_DataCenter_v1.xml,FAM011,P0369|P0383|P0409|P0420,,,,,MX001|MX006,,
F0160,ref2/TP4_DataCenter_v2.xml,FAM011,P0371|P0385|P0411|P0421,,,,,MX002|MX007,,
F0161,ref2/TP4_DataCenter_v3.xml,FAM011,P0373|P0387|P0413|P0422,,,,,MX003|MX008,,
F0162,ref2/TP4_DataCenter_v4.xml,FAM011,P0375|P0389|P0415|P0423,,,,,MX004|MX009,,
F0163,ref2/TP4_DataCenter_v5.xml,FAM011,P0377|P0391|P0417|P0424,,,,,MX005|MX010,,
F0164,ref2/UID_145_Directional_Path_Analysis_2026-6-22-11-35-10.xlsx,FAM008,P0425,A0168|A0169|A0170,,TC-F0164,,,,
F0165,ref2/UID_145_Directional_Path_Analysis_2026-6-23-12-28-46.xlsx,FAM008,P0426,A0171|A0172|A0173,,TC-F0165,,,,
F0166,ref2/UID_145_Directional_Path_Analysis_All_Dependencies_2026-6-23-12-37-10.xlsx,FAM008,P0427,A0174|A0175|A0176,,TC-F0166,,,,
F0167,ref2/UID_152_Directional_Path_Analysis_2026-6-23-12-46-44.xlsx,FAM005,P0428,A0177,,TC-F0167,,,,
F0168,ref2/UID_152_Directional_Path_Analysis_All Dependents Not Leveled_2026-6-23-20-30-55.xlsx,FAM005,P0429,A0178,,TC-F0168,,,,
F0169,ref2/UID_152_Directional_Path_Analysis_ALL_2026-6-23-15-5-21.xlsx,FAM005,P0430,A0179,,TC-F0169,,,,
F0170,ref2/UID_152_Directional_Path_Analysis_Leveled_All_Dependents_2026-6-23-20-28-26.xlsx,FAM005,P0431,A0180,,TC-F0170,,,,
F0171,ref2/UID_152_Directional_Path_Analysis_Resource_Level_2026-6-23-17-8-43.xlsx,FAM005,P0432,A0181,,TC-F0171,,,,
F0172,ref2/UID_4_Directional_Path_Analysis_2026-6-23-15-42-46.xlsx,FAM002,P0433,A0182,,TC-F0172,,,,
F0173,ref2/UID_4_Directional_Path_Analysis_Progress_2026-6-23-16-0-6.xlsx,FAM002,P0434,A0183,,TC-F0173,,,,
F0174,ref2/UID_4_Directional_Path_Analysis_Split_2026-6-23-16-31-24.xlsx,FAM002,P0435,A0184,,TC-F0174,,,,
F0175,ref2/Workbook1 - DCMA Report.xlsx,FAM012,P0298|P0392|P0436,A0185|A0186|A0187,,TC-F0175,,,,
